Species,Amino_acid,Mean,Standard Deviation
Dnav,Cysteine,7.99251497,7.182871782
Dmoj,Cysteine,7.99251497,7.163224691
Dari,Cysteine,7.938622754,7.111922074
Dwil,Cysteine,7.555389222,6.8988136
Dobs,Cysteine,7.767964072,7.036106754
Dmir,Cysteine,7.823353293,7.136194427
Dper,Cysteine,7.800898204,7.103910643
Dpse,Cysteine,7.821856287,7.118171617
Dbip,Cysteine,7.553892216,6.930697839
Dana,Cysteine,7.636227545,6.952678266
Dser,Cysteine,7.586826347,6.890007983
Dkik,Cysteine,7.588323353,6.915184271
Dfic,Cysteine,7.627245509,6.965989785
Drho,Cysteine,7.541916168,6.901298831
Dele,Cysteine,7.556886228,6.944288726
Deug,Cysteine,7.588323353,6.894122056
Dere,Cysteine,7.658682635,6.968786657
Dyak,Cysteine,7.660179641,6.988731643
Dmel,Cysteine,7.651197605,6.989361057
Dsec,Cysteine,7.682634731,6.941036583
Dsim,Cysteine,7.669161677,6.945481066
Dtak,Cysteine,7.526946108,6.836549075
Dbia,Cysteine,7.649700599,7.01700974
Dsuz,Cysteine,7.498502994,6.828702817
Dbus,Glutamine,22.58083832,20.64683526
Dgri,Glutamine,22.19461078,20.58924701
Dvir,Glutamine,22.31736527,20.80258888
Dnov,Glutamine,22.07335329,20.15224682
Dhyd,Glutamine,21.88323353,19.99178588
Dnav,Glutamine,21.79191617,19.71392389
Dmoj,Glutamine,21.96407186,20.73489182
Dari,Glutamine,21.71407186,19.73521832
Dwil,Glutamine,21.40868263,19.90944378
Dobs,Glutamine,21.27694611,19.8634682
Dmir,Glutamine,20.91616766,19.8436658
Dper,Glutamine,20.80838323,19.40901478
Dpse,Glutamine,20.80538922,19.45365849
Dbip,Glutamine,20.30389222,18.639615
Dana,Glutamine,20.42814371,18.97538652
Dser,Glutamine,21.03293413,19.61890574
Dkik,Glutamine,21.09131737,19.23286752
Dfic,Glutamine,20.97904192,20.12679845
Drho,Glutamine,20.81886228,19.73896679
Dele,Glutamine,21.23502994,20.66126101
Deug,Glutamine,20.79640719,19.5270278
Dere,Glutamine,20.77994012,18.821128
Dyak,Glutamine,20.83383234,19.77734212
Dmel,Glutamine,20.68113772,19.65432465
Dsec,Glutamine,20.61377246,18.94006776
Dsim,Glutamine,20.6242515,19.29688694
Dtak,Glutamine,21.10329341,19.52939094
Dbia,Glutamine,20.98652695,19.8579241
Dsuz,Glutamine,20.4745509,19.31893476
Dbus,Glutamic acid,27.73203593,22.34864248
Dgri,Glutamic acid,27.64371257,22.3668207
Dvir,Glutamic acid,27.92964072,22.544964
Dnov,Glutamic acid,27.77844311,22.30332028
Dhyd,Glutamic acid,27.88173653,22.52147591
Dnav,Glutamic acid,28.18263473,22.73706425
Dmoj,Glutamic acid,28.3997006,22.99899874
Dari,Glutamic acid,28.11676647,22.74310256
Dwil,Glutamic acid,28.48203593,22.98369099
Dobs,Glutamic acid,28.35778443,23.12210886
Dmir,Glutamic acid,28.67365269,23.23360463
Dper,Glutamic acid,28.66616766,23.2104819
Dpse,Glutamic acid,28.63473054,23.13965405
Dbip,Glutamic acid,29.41317365,24.28929725
Dana,Glutamic acid,29.41167665,24.31668219
Dser,Glutamic acid,29.30239521,23.75603502
Dkik,Glutamic acid,29.49401198,24.03392705
Dfic,Glutamic acid,29.5239521,23.84019186
Drho,Glutamic acid,29.15269461,23.75166451
Dele,Glutamic acid,29.21706587,23.80932268
Deug,Glutamic acid,29.08682635,23.58038229
Dere,Glutamic acid,28.89670659,23.3904949
Dyak,Glutamic acid,28.99101796,23.41855471
Dmel,Glutamic acid,28.9011976,23.35013071
Dsec,Glutamic acid,28.96107784,23.43445956
Dsim,Glutamic acid,28.95209581,23.3575451
Dtak,Glutamic acid,29.64820359,24.44681305
Dbia,Glutamic acid,29.55538922,24.19705926
Dsuz,Glutamic acid,29.05988024,23.74052655
Dbus,Glycine,22.05688623,15.71436562
Dgri,Glycine,23.64371257,18.27547014
Dvir,Glycine,23.49401198,16.90501625
Dnov,Glycine,23.4251497,16.8827537
Dhyd,Glycine,23.22305389,17.13224709
Dnav,Glycine,23.20508982,17.04772834
Dmoj,Glycine,23.2754491,17.07165064
Dari,Glycine,23.07335329,16.85894411
Dwil,Glycine,24.11976048,18.31641022
Dobs,Glycine,24.88023952,18.24530578
Dmir,Glycine,25.00149701,18.592328
Dper,Glycine,24.96257485,18.47702347
Dpse,Glycine,24.99401198,18.59833366
Dbip,Glycine,24.98652695,18.31569234
Dana,Glycine,25.04790419,18.3030653
Dser,Glycine,25.45508982,18.71227951
Dkik,Glycine,25.51197605,18.53118059
Dfic,Glycine,25.03742515,18.23731879
Drho,Glycine,24.82035928,18.20252726
Dele,Glycine,25.11826347,18.30671783
Deug,Glycine,24.52095808,18.05707703
Dere,Glycine,24.63772455,17.82727091
Dyak,Glycine,24.67814371,17.81908924
Dmel,Glycine,24.61976048,17.74504678
Dsec,Glycine,24.72005988,17.94647427
Dsim,Glycine,24.66317365,17.74292578
Dtak,Glycine,25.13023952,18.12300422
Dbia,Glycine,25.17664671,18.01187163
Dsuz,Glycine,24.59730539,17.77439305
Dbus,Histidine,11.04491018,9.150142976
Dgri,Histidine,11.46407186,9.655702475
Dvir,Histidine,11.29191617,9.584319743
Dnov,Histidine,11.17215569,9.372133412
Dhyd,Histidine,11.13772455,9.187643203
Dnav,Histidine,10.96556886,9.219642684
Dmoj,Histidine,11.06137725,9.328784068
Dari,Histidine,10.8997006,9.101483473
Dwil,Histidine,11.12125749,9.295190527
Dobs,Histidine,11.27694611,9.821782616
Dmir,Histidine,11.29491018,9.645974892
Dper,Histidine,11.25,9.586444859
Dpse,Histidine,11.21706587,9.560470014
Dbip,Histidine,10.7739521,9.022781991
Dana,Histidine,10.89371257,9.179000673
Dser,Histidine,11.07934132,9.4126454
Dkik,Histidine,11.00898204,9.441363751
Dfic,Histidine,10.83682635,9.115222294
Drho,Histidine,10.8502994,9.100886322
Dele,Histidine,11.00598802,9.311531118
Deug,Histidine,10.80538922,8.971109769
Dere,Histidine,10.98952096,9.168007624
Dyak,Histidine,10.92065868,9.108277115
Dmel,Histidine,10.94161677,9.17240525
Dsec,Histidine,10.9745509,9.147022305
Dsim,Histidine,10.95359281,9.187498952
Dtak,Histidine,10.8742515,9.110634109
Dbia,Histidine,10.98952096,9.277572597
Dsuz,Histidine,10.70658683,8.979277411
Dbus,Isoleucine,20.7754491,16.34689162
Dgri,Isoleucine,21.77994012,16.74093329
Dvir,Isoleucine,21.19610778,16.29788803
Dnov,Isoleucine,21.14520958,16.31028385
Dhyd,Isoleucine,21.82035928,16.70820405
Dnav,Isoleucine,21.60778443,16.58629876
Dmoj,Isoleucine,21.63922156,16.59663684
Dari,Isoleucine,21.56886228,16.51893795
Dwil,Isoleucine,22.52844311,17.19612852
Dobs,Isoleucine,20.93712575,16.28933294
Dmir,Isoleucine,21.07185629,16.23748744
Dper,Isoleucine,21.01946108,16.11441229
Dpse,Isoleucine,21.02694611,16.06842168
Dbip,Isoleucine,21.11826347,16.19112132
Dana,Isoleucine,21.14670659,16.09024506
Dser,Isoleucine,20.62874251,15.95984129
Dkik,Isoleucine,20.39520958,15.75037967
Dfic,Isoleucine,20.79491018,15.89861538
Drho,Isoleucine,20.73053892,15.89298437
Dele,Isoleucine,20.51796407,15.81398544
Deug,Isoleucine,21.43562874,16.48188466
Dere,Isoleucine,20.84580838,16.07670511
Dyak,Isoleucine,20.83682635,15.89598943
Dmel,Isoleucine,21.06586826,16.22975509
Dsec,Isoleucine,21.0748503,16.21261736
Dsim,Isoleucine,20.98652695,16.12251067
Dtak,Isoleucine,20.5748503,15.78421096
Dbia,Isoleucine,20.45658683,15.90647992
Dsuz,Isoleucine,20.55389222,15.70449853
Dbus,Leucine,41.42365269,35.04323965
Dgri,Leucine,41.1002994,34.19444092
Dvir,Leucine,41.57335329,34.20371561
Dnov,Leucine,41.42065868,34.147506
Dhyd,Leucine,41.03742515,33.89975663
Dnav,Leucine,40.83083832,33.52427313
Dmoj,Leucine,40.91317365,33.72347565
Dari,Leucine,40.67964072,33.38798865
Dwil,Leucine,40.26347305,33.64836306
Dobs,Leucine,40.65868263,33.36756767
Dmir,Leucine,40.64820359,33.44054959
Dper,Leucine,40.52245509,33.19192888
Dpse,Leucine,40.57784431,33.20570913
Dbip,Leucine,40.2245509,33.1305246
Dana,Leucine,40.29640719,33.20246625
Dser,Leucine,40.74850299,33.31728683
Dkik,Leucine,40.9491018,33.58674396
Dfic,Leucine,40.66616766,33.23160639
Drho,Leucine,40.39520958,33.35600674
Dele,Leucine,40.79640719,33.6133387
Deug,Leucine,40.37724551,33.27498744
